Started Logging on Sun Mar 07 22:50:15 1999 
count,hh,mm,ss,AD1,AD2,AD3,AD4,IP1,IP2,IP3,IP4
000377,22,50,16,116,113,119,006,0,0,0,0
000378,22,50,16,116,113,118,006,0,0,0,0
000379,22,50,16,117,113,117,006,0,0,0,0
000380,22,50,16,116,113,117,006,0,0,0,0
000381,22,50,16,116,113,116,006,0,0,0,0
000382,22,50,16,116,113,117,006,0,0,0,0
000383,22,50,16,116,113,116,006,0,0,0,0
000384,22,50,16,116,113,116,006,0,0,0,0
000385,22,50,16,116,113,116,006,0,0,0,0
000386,22,50,16,116,113,118,006,0,0,0,0
000387,22,50,16,116,113,117,006,0,0,0,0
000388,22,50,16,117,113,119,006,0,0,0,0
000389,22,50,16,116,113,119,006,0,0,0,0
000390,22,50,16,116,114,120,006,0,0,0,0
000391,22,50,16,116,113,118,006,0,0,0,0
000392,22,50,16,116,113,118,006,0,0,0,0
000393,22,50,16,118,113,119,006,0,0,0,0
000394,22,50,16,116,113,121,006,0,0,0,0
000395,22,50,16,116,113,121,006,0,0,0,0
000396,22,50,16,116,113,121,006,0,0,0,0
000397,22,50,16,119,114,121,006,0,0,0,0
000398,22,50,16,116,113,121,006,0,0,0,0
000399,22,50,16,116,113,119,006,0,0,0,0
updating time (100 readings since last time update)
000400,22,50,16,116,113,119,006,0,0,0,0
000401,22,50,16,118,113,119,006,0,0,0,0
000402,22,50,16,115,113,117,006,0,0,0,0
000403,22,50,16,115,113,117,006,0,0,0,0
000404,22,50,16,116,113,117,006,0,0,0,0
000405,22,50,16,116,113,118,006,0,0,0,0
000406,22,50,16,116,113,116,006,0,0,0,0
000407,22,50,16,116,113,116,006,0,0,0,0
000408,22,50,16,116,113,116,006,0,0,0,0
000409,22,50,16,124,114,118,006,0,0,0,0
000410,22,50,16,116,113,121,006,0,0,0,0
000411,22,50,16,116,115,116,006,0,0,0,0
000412,22,50,16,116,113,116,006,0,0,0,0
000413,22,50,16,116,113,120,006,0,0,0,0
000414,22,50,16,116,113,115,007,0,0,0,0
000415,22,50,16,115,113,118,006,0,0,0,0
000416,22,50,16,116,113,119,006,0,0,0,0
000417,22,50,16,115,113,121,006,0,0,0,0
000418,22,50,16,116,113,119,006,0,0,0,0
000419,22,50,16,116,113,119,006,0,0,0,0
000420,22,50,16,116,113,119,006,0,0,0,0
000421,22,50,16,116,113,116,006,0,0,0,0
000422,22,50,16,116,113,116,006,0,0,0,0
000423,22,50,16,116,113,117,006,0,0,0,0
000424,22,50,16,116,113,116,006,0,0,0,0
000425,22,50,16,116,113,117,006,0,0,0,0
000426,22,50,16,116,113,116,006,0,0,0,0
000427,22,50,16,116,113,116,006,0,0,0,0
000428,22,50,16,116,113,116,006,0,0,0,0
000429,22,50,16,116,113,116,006,0,0,0,0
000430,22,50,16,116,113,117,006,0,0,0,0
000431,22,50,16,116,113,117,006,0,0,0,0
000432,22,50,16,116,113,116,006,0,0,0,0
000433,22,50,16,116,113,117,006,0,0,0,0
000434,22,50,16,116,113,116,006,0,0,0,0
000435,22,50,16,116,113,117,006,0,0,0,0
000436,22,50,16,116,113,116,006,0,0,0,0
000437,22,50,16,116,113,116,006,0,0,0,0
000438,22,50,16,116,113,116,006,0,0,0,0
000439,22,50,16,116,113,116,006,0,0,0,0
000440,22,50,16,116,113,116,006,0,0,0,0
000441,22,50,16,116,113,116,007,0,0,0,0
000442,22,50,16,116,113,116,006,0,0,0,0
000443,22,50,16,116,113,118,006,0,0,0,0
000444,22,50,16,116,113,119,006,0,0,0,0
000445,22,50,16,116,113,119,006,0,0,0,0
000446,22,50,16,116,113,117,006,0,0,0,0
000447,22,50,16,116,113,116,006,0,0,0,0
000448,22,50,16,116,113,116,006,0,0,0,0
000449,22,50,16,116,113,116,006,0,0,0,0
000450,22,50,16,116,113,117,006,0,0,0,0
000451,22,50,16,116,113,118,006,0,0,0,0
000452,22,50,16,116,114,119,006,0,0,0,0
000453,22,50,16,117,114,120,006,0,0,0,0
000454,22,50,16,116,114,120,007,0,0,0,0
000455,22,50,16,116,113,119,006,0,0,0,0
000456,22,50,16,118,113,119,006,0,0,0,0
000457,22,50,16,116,113,119,006,0,0,0,0
000458,22,50,16,115,113,118,006,0,0,0,0
000459,22,50,16,115,113,117,006,0,0,0,0
000460,22,50,16,119,113,119,006,0,0,0,0
000461,22,50,16,116,113,119,006,0,0,0,0
000462,22,50,16,116,113,119,006,0,0,0,0
000463,22,50,16,116,113,119,006,0,0,0,0
000464,22,50,16,117,113,119,006,0,0,0,0
000465,22,50,16,116,113,119,006,0,0,0,0
000466,22,50,16,116,113,119,006,0,0,0,0
000467,22,50,16,116,113,119,006,0,0,0,0
000468,22,50,16,117,115,119,006,0,0,0,0
000469,22,50,16,117,114,120,006,0,0,0,0
000470,22,50,16,116,113,120,006,0,0,0,0
000471,22,50,16,117,113,119,006,0,0,0,0
000472,22,50,16,116,114,119,006,0,0,0,0
000473,22,50,16,116,113,121,006,0,0,0,0
000474,22,50,16,116,113,121,006,0,0,0,0
000475,22,50,16,116,113,120,006,0,0,0,0
000476,22,50,16,117,116,119,006,0,0,0,0
000477,22,50,16,116,113,116,006,0,0,0,0
000478,22,50,16,116,113,116,006,0,0,0,0
000479,22,50,16,116,113,116,006,0,0,0,0
000480,22,50,16,115,113,116,006,0,0,0,0
000481,22,50,16,116,113,118,006,0,0,0,0
000482,22,50,16,116,113,116,006,0,0,0,0
000483,22,50,16,116,114,118,006,0,0,0,0
000484,22,50,16,116,113,117,006,0,0,0,0
000485,22,50,16,116,114,121,006,0,0,0,0
000486,22,50,16,116,113,119,006,0,0,0,0
000487,22,50,16,116,113,120,006,0,0,0,0
000488,22,50,16,116,113,121,006,0,0,0,0
000489,22,50,16,116,113,119,006,0,0,0,0
000490,22,50,16,117,113,120,006,0,0,0,0
000491,22,50,16,117,113,121,006,0,0,0,0
000492,22,50,16,116,113,119,006,0,0,0,0
000493,22,50,16,116,113,117,006,0,0,0,0
000494,22,50,16,116,113,116,006,0,0,0,0
000495,22,50,16,118,114,118,006,0,0,0,0
000496,22,50,16,116,114,116,006,0,0,0,0
000497,22,50,16,116,113,119,006,0,0,0,0
000498,22,50,16,116,113,119,006,0,0,0,0
000499,22,50,16,117,113,119,006,0,0,0,0
updating time (100 readings since last time update)
